Тип	№	Транскрипция	Заголовок	Таймкод	Источник (файл)	Статус	Ссылка
рилс	1	U (Kant 1 U.txt)	Нравственность без гарантий	01:14–03:07	Kant1-content-shortlist.md	идея	
рилс	2	U (Kant 1 U.txt)	Надежда: опора или ловушка	02:45–03:07 + 17:27–18:50	Kant1-content-shortlist.md	идея	
рилс	3	U (Kant 1 U.txt)	Спор о добре и зле в истории	14:08–15:08	Kant1-content-shortlist.md	идея	
рилс	4	U (Kant 1 U.txt)	Как поставить надежду в карту понятий	50:49–53:12	Kant1-content-shortlist.md	идея	
рилс	5	U (Kant 1 U.txt)	Ответственность: человек или обстоятельства	01:23:01–01:24:25	Kant1-content-shortlist.md	идея	
рилс	6	V (Kant 1 V.txt)	После «что делать» — «что дальше» и гарантии	02:40–04:52	Kant1V-content-shortlist.md	идея	
рилс	7	V (Kant 1 V.txt)	Пессимизм Канта: ирония или честное описание?	14:38–16:28	Kant1V-content-shortlist.md	идея	
рилс	8	V (Kant 1 V.txt)	Держит ли мир десять праведников?	32:29–34:10	Kant1V-content-shortlist.md	идея	
рилс	9	V (Kant 1 V.txt)	Необходимость поесть и язык добра и зла	38:04–39:18	Kant1V-content-shortlist.md	идея	
рилс	10	V (Kant 1 V.txt)	Добро и зло: для Солнца их нет?	46:10–47:18	Kant1V-content-shortlist.md	идея	
текст блога	1	U (Kant 1 U.txt)	Зачем делать добро, если нет гарантий результата?	01:14–03:07	Kant1-content-shortlist.md	идея	
текст блога	2	U (Kant 1 U.txt)	Надежда поддерживает — или делает нас тревожными?	02:45–03:07 + 17:27–18:50	Kant1-content-shortlist.md	идея	
текст блога	3	U (Kant 1 U.txt)	Что в наших суждениях основано на опыте, а что — на теории?	32:50–33:27 + 42:27–44:05	Kant1-content-shortlist.md	идея	
текст блога	4	U (Kant 1 U.txt)	От абзаца к схеме: как мы думаем в клубе	50:49–53:12 + 01:35:44–01:36:39	Kant1-content-shortlist.md	идея	
текст блога	5	U (Kant 1 U.txt)	Где проходит граница ответственности: в человеке или в среде?	01:23:01–01:24:25	Kant1-content-shortlist.md	идея	
текст блога	6	V (Kant 1 V.txt)	От «что делать» к «на что надеяться»: зачем Кант снова про человека	00:30–01:02 + 02:40–04:52	Kant1V-content-shortlist.md	идея	
текст блога	7	V (Kant 1 V.txt)	Когда кажется, что автор с вами грубо: как читать Канта без обиды	13:42–16:35	Kant1V-content-shortlist.md	идея	
текст блога	8	V (Kant 1 V.txt)	Достаточно ли десяти добрых, чтобы «держать» человечество?	32:06–34:21	Kant1V-content-shortlist.md	идея	
текст блога	9	V (Kant 1 V.txt)	«Завтра облагодетельствовать — сегодня съесть»: где граница добра	38:04–39:52	Kant1V-content-shortlist.md	идея	
текст блога	10	V (Kant 1 V.txt)	Фатализм, воспитание природы или исправление максим: три пути Канта	01:07:17–01:09:38	Kant1V-content-shortlist.md	идея	
